Date,S&P500,Dividend,Earnings,CPI,Long.Interest.Rate,Real.Price,Real.Dividend,Real.Total.Return.Price,Real.Earnings,Real.TR.Scaled.Earnings,Cyclically.Adjusted.PE,Total.Return.Cyclically.Adjusted.PE,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,VIX.Open,VIX.High,VIX.Low,VIX.Close,VIX.Adjusted
1990.01,339.97,11.14,22.49,127.4,8.21,691.23,22.65,230828.76,45.73,15269.99,17.05,20.41,7503.76001,7540.430023,7418.240082,7479.380006,3793250000,7479.380006,513.640002,513.640002,513.640002,513.640002,513.640002
1990.02,330.45,11.23,22.08,128,8.47,668.73,22.73,223945.7,44.68,14963.6,16.51,19.74,6275.790041,6311.820035,6239.160094,6278.600067,2961970000,6278.600067,441.990005,441.990005,441.990005,441.990005,441.990005
1990.03,338.46,11.32,21.67,128.7,8.59,681.21,22.78,228762.32,43.61,14646.57,16.83,20.1,7438.030029,7475.459963,7404.039946,7446.23001,3283280000,7446.23001,441.369996,441.369996,441.369996,441.369996,441.369996
1990.04,338.18,11.44,21.53,128.9,8.79,679.59,22.98,228861.59,43.27,14572.55,16.81,20.06,6772.699979,6800.959992,6733.239989,6763.559965,2801220000,6763.559965,428.070001,428.070001,428.070001,428.070001,428.070001
1990.05,350.25,11.55,21.4,129.2,8.76,702.21,23.16,237129.56,42.9,14486.2,17.39,20.72,7675.079989,7727.580019,7655.449979,7705.500032,3596680000,7705.500032,398.149999,398.149999,398.149999,398.149999,398.149999
1990.06,360.39,11.66,21.26,129.9,8.48,718.65,23.25,243334.11,42.39,14354.68,17.82,21.21,7572.390077,7611.140046,7528.990022,7568.119997,3226280000,7568.119997,353.269996,353.269996,353.269996,353.269996,353.269996
1990.07,360.03,11.73,21.42,130.4,8.47,715.18,23.29,242816.23,42.55,14446.36,17.75,21.1,7562.529998,7596.029938,7509.130005,7560.649994,3373540000,7560.649994,386.250003,386.250003,386.250003,386.250003,386.250003
1990.08,330.75,11.78,21.58,131.6,8.75,651.02,23.19,221690.98,42.48,14464.37,16.17,19.21,7640.599915,7690.729949,7541.679993,7607.169953,4020730000,7607.169953,648.029995,648.029995,648.029995,648.029995,648.029995
1990.09,315.41,11.83,21.74,132.7,8.89,615.68,23.09,210311.92,42.44,14495.99,15.3,18.17,6010.130006,6034.989961,5941.669952,5992.730012,2687280000,5992.730012,553.039999,553.039999,553.039999,553.039999,553.039999
1990.1,307.12,11.93,21.61,133.5,8.72,595.91,23.14,204215.81,41.92,14367.12,14.82,17.59,7065.95004,7131.730011,6998.570005,7063.870054,3671900000,7063.870054,681.390008,681.390008,681.390008,681.390008,681.390008
1990.11,315.29,12.01,21.47,133.8,8.39,610.39,23.26,209842.47,41.57,14291.64,15.19,18.02,6602.889953,6652.20996,6564.390016,6621.110014,3149770000,6621.110014,522.600003,522.600003,522.600003,522.600003,522.600003
1990.12,328.75,12.09,21.34,133.8,8.08,636.45,23.41,219471.37,41.31,14246.45,15.85,18.8,6566.96002,6597.769988,6535.470032,6574.990049,3116830000,6574.990049,467.260002,467.260002,467.260002,467.260002,467.260002
1991.01,325.49,12.11,21.18,134.6,8.09,626.39,23.3,216673.04,40.77,14101.36,15.61,18.5,7146.940003,7199.970063,7105.209991,7160.680023,3660240000,7160.680023,603.440006,603.440006,603.440006,603.440006,603.440006
1991.02,362.26,12.11,21.03,134.8,7.85,696.12,23.28,241463.38,40.4,14015.29,17.35,20.56,6859.829988,6927.629974,6824.399994,6883.000001,4303170000,6883.000001,410.370001,410.370001,410.370001,410.370001,410.370001
1991.03,372.28,12.11,20.94,135,8.11,714.31,23.24,248446.22,40.18,13974.6,17.82,21.1,7437.429961,7490.119995,7401.079927,7445.579985,3927920000,7445.579985,358.369998,358.369998,358.369998,358.369998,358.369998
1991.04,379.68,12.13,20.36,135.2,8.04,727.43,23.24,253683.48,39.01,13605.75,18.16,21.48,8352.940032,8405.69995,8299.74994,8352.929992,4017200000,8352.929992,382.200002,382.200002,382.200002,382.200002,382.200002
1991.05,377.99,12.14,19.86,135.6,8.07,722.06,23.19,252483.26,37.93,13263.54,18.04,21.33,8300.040009,8349.300051,8261.149962,8315.829986,3739700000,8315.829986,372.51,372.51,372.51,372.51,372.51
1991.06,378.29,12.15,19.41,136,8.28,720.51,23.14,252614.78,36.97,12961.62,18.02,21.29,7584.499969,7606.849978,7533.020019,7565.859985,3258730000,7565.859985,342.7,342.7,342.7,342.7,342.7
1991.07,380.23,12.19,18.84,136.2,8.27,723.14,23.19,254214.97,35.83,12596.09,18.1,21.38,8348.360014,8395.429962,8319.110017,8364.98999,3481570000,8364.98999,380.47,380.47,380.47,380.47,380.47
1991.08,389.4,12.24,18.33,136.6,7.9,738.41,23.2,260263.28,34.76,12251.22,18.51,21.85,8559.369935,8605.26007,8519.169984,8566.869936,3713820000,8566.869936,344.990002,344.990002,344.990002,344.990002,344.990002
1991.09,387.2,12.28,17.82,137.2,7.65,731.03,23.18,258342.1,33.64,11889.61,18.36,21.66,7751.349975,7779.580046,7715.299925,7743.969999,3260990000,7743.969999,339.129992,339.129992,339.129992,339.129992,339.129992
1991.1,386.88,12.25,17.2,137.4,7.53,729.36,23.1,258433.15,32.43,11491.69,18.35,21.64,8893.550016,8930.46997,8854.169981,8898.320036,4082380000,8898.320036,376.369997,376.369997,376.369997,376.369997,376.369997
1991.11,385.92,12.23,16.59,137.8,7.42,725.44,22.98,257722.21,31.18,11076.81,18.29,21.56,7735.599944,7765.520019,7674.47003,7718.389983,3737620000,7718.389983,355.470001,355.470001,355.470001,355.470001,355.470001
1991.12,388.51,12.2,15.97,137.9,7.09,729.78,22.92,259942.15,30,10685.12,18.44,21.73,8116.759947,8184.210082,8087.590026,8158.72,4155310000,8158.72,385.300003,385.300003,385.300003,385.300003,385.300003
1992.01,416.08,12.24,16.05,138.1,7.03,780.43,22.96,278666.83,30.1,10747.17,19.77,23.29,9161.779904,9196.399993,9105.870088,9153.649929,5286280000,9153.649929,379.860002,399.999999,369.999997,389.029997,389.029997
1992.02,412.56,12.28,16.12,138.6,7.34,771.04,22.95,275995.45,30.13,10786.21,19.58,23.06,7834.830016,7870.399993,7794.790008,7838.560027,4267610000,7838.560027,326.769997,342.599999,319.809998,332.07,332.07
1992.03,407.36,12.32,16.19,139.3,7.54,757.5,22.91,271830.68,30.11,10803.56,19.28,22.7,8971.049989,8999.089935,8934.769988,8962.01999,4066240000,8962.01999,389.760001,396.559995,379.490002,385.45,385.45
1992.04,407.41,12.32,16.48,139.5,7.48,756.5,22.88,272158.39,30.61,11011.19,19.3,22.71,8544.130006,8588.179963,8497.059937,8555.550021,4315840000,8555.550021,353.749998,362.100004,341.789999,347.819996,347.819996
1992.05,414.81,12.32,16.77,139.7,7.39,769.14,22.84,277389.88,31.09,11212.15,19.66,23.13,8295.990021,8326.619965,8263.02002,8296.29004,3643980000,8296.29004,296.060002,315.070003,290.33,301.540001,301.540001
1992.06,408.27,12.32,17.05,140.2,7.26,754.31,22.76,272726.92,31.5,11389.51,19.32,22.72,8989.329989,9018.250003,8948.00003,8982.040039,4259830000,8982.040039,328.970001,346.970006,321.060001,334.470002,334.470002
1992.07,415.05,12.34,17.38,140.5,6.84,765.2,22.76,277349.64,32.04,11613.87,19.62,23.07,9114.979981,9155.849944,9078.289978,9131.130006,4265220000,9131.130006,287.01,312.570001,282.21,299.24,299.24
1992.08,417.93,12.37,17.71,140.9,6.59,768.33,22.74,279168.02,32.56,11829.89,19.72,23.18,8786.670012,8809.790039,8748.240022,8776.469999,3653820000,8776.469999,293.67,315.45,286.06,302.860001,302.860001
1992.09,418.48,12.4,18.04,141.3,6.42,767.16,22.73,279432.37,33.07,12045.88,19.71,23.16,8784.160063,8818.429964,8753.109984,8788.019989,4023850000,8788.019989,277.84,293.46,273.85,287.63,287.63
1992.1,412.5,12.39,18.39,141.8,6.59,753.53,22.63,275154.93,33.59,12266.91,19.37,22.76,9074.260009,9112.740113,9023.949983,9075.060028,4507010000,9075.060028,380.430003,403.219999,370.5,388.010002,388.010002
1992.11,422.84,12.38,18.74,142,6.87,771.33,22.59,282342.27,34.18,12513.23,19.83,23.3,8444.199981,8477.879975,8421.719971,8456.879942,4148770000,8456.879942,291.620001,301.420001,280.94,288.490001,288.490001
1992.12,435.64,12.39,19.09,141.9,6.77,795.24,22.62,291784.1,34.85,12786.15,20.45,24.02,9579.81003,9610.880006,9549.259948,9584.070009,4876150000,9584.070009,263.84,282.66,255.55,268.21,268.21
1993.01,435.23,12.41,19.34,142.6,6.6,790.59,22.55,290767.97,35.13,12920.65,20.32,23.87,8701.520019,8731.320069,8671.829986,8704.579986,5280850000,8704.579986,246.55,258.62,239.32,248.18,248.18
1993.02,441.7,12.45,19.59,143.1,6.26,799.54,22.53,294749.9,35.46,13072.56,20.55,24.12,8387.839967,8424.529968,8349.090027,8392.369936,5442450000,8392.369936,258.79,273.210001,251.2,260.71,260.71
1993.03,450.16,12.48,19.84,143.6,5.98,812.02,22.51,300040.97,35.79,13223.77,20.86,24.48,10345.28,10393.54996,10307.26001,10353.56998,5766950000,10353.56998,310.5,325.37,302.53,312.939999,312.939999
1993.04,443.08,12.49,19.67,144,5.97,797.03,22.47,295193.65,35.38,13104.76,20.46,24.01,9316.010009,9346.49997,9266.040009,9304.630036,5853170000,9304.630036,270,284.13,259.05,269.66,269.66
1993.05,445.25,12.51,19.5,144.2,6.04,799.82,22.47,296921.35,35.03,13003.85,20.52,24.07,8895.030028,8930.73004,8858.300048,8904.929961,5108640000,8904.929961,273.79,284.42,265.8,272.12,272.12
1993.06,448.06,12.52,19.33,144.4,5.96,803.75,22.46,299076.19,34.68,12902.61,20.61,24.18,9856.880006,9888.150025,9824.670013,9857.309967,5544400000,9857.309967,281.41,292.01,270.36,275.53,275.53
1993.07,447.29,12.52,19.69,144.4,5.81,802.37,22.46,299258.64,35.32,13173.56,20.56,24.12,9395.139985,9423.159972,9360.290007,9393.009949,5308530000,9393.009949,239.79,254.08,229.12,241.51,241.51
1993.08,454.13,12.52,20.05,144.8,5.68,812.39,22.4,303691.72,35.87,13408.1,20.81,24.41,9975.649995,10009.79996,9955.300018,9990.810031,5506200000,9990.810031,262.54,277.87,255.9,262.43,262.43
1993.09,459.24,12.52,20.41,145.1,5.36,819.83,22.35,307170.25,36.44,13651.57,20.99,24.61,9648.479919,9674.699953,9606.150055,9643.939912,5552720000,9643.939912,266.3,283.409999,258.32,271.559999,271.559999
1993.1,463.9,12.54,20.9,145.7,5.33,824.74,22.29,309705.48,37.16,13953.1,21.11,24.74,9733.079896,9765.790039,9708.699923,9741.899932,5940460000,9741.899932,252.98,265.74,240.41,249.38,249.38
1993.11,462.89,12.56,21.39,145.8,5.72,822.38,22.31,309517.52,38,14302.71,21.04,24.65,9726.799957,9757.029967,9681.480011,9720.699982,5876610000,9720.699982,295.150002,311.600002,284.82,295.76,295.76
1993.12,465.95,12.58,21.89,145.8,5.77,827.82,22.35,312264.62,38.89,14669.97,21.16,24.78,10245.26996,10273.65003,10222.87997,10250.80005,5791210000,10250.80005,254.37,263.55,241.7,249.84,249.84
1994.01,472.99,12.62,22.16,146.2,5.75,838.03,22.37,316818.39,39.26,14841.01,21.41,25.06,9917.75003,9952.690063,9894.93997,9932.850005,6627390000,9932.850005,240.33,249.02,229.71,237.1,237.1
1994.02,471.58,12.67,22.43,146.7,5.97,832.68,22.37,315501.97,39.61,15008.59,21.26,24.88,8974.459994,9005.059999,8928.100006,8960.019989,5853100000,8960.019989,253.48,270.709999,242.91,259.24,259.24
1994.03,463.81,12.71,22.71,147.2,6.48,816.18,22.37,309955.78,39.96,15176.68,20.83,24.36,10689.03003,10715.91,10613.48993,10667.58002,7225010000,10667.58002,340.070001,367.069999,331.220001,350.140002,350.140002
1994.04,447.23,12.75,23.54,147.4,6.97,785.93,22.41,299179.41,41.37,15747.34,20.06,23.44,8492.610048,8536.560059,8441.250002,8497.410034,5735010000,8497.410034,313.959999,336.149995,303.059998,312.949999,312.949999
1994.05,450.9,12.8,24.37,147.5,7.18,791.85,22.47,302142.89,42.8,16330.06,20.2,23.59,9463.290008,9498.799985,9419.720031,9468.870025,5675970000,9468.870025,291.86,305.420002,283.59,291.84,291.84
1994.06,454.83,12.84,25.2,148,7.1,796.05,22.47,304461.26,44.11,16868.77,20.29,23.69,10018.46997,10051.56998,9966.99994,10006.16998,5852670000,10006.16998,290.840001,307.379999,282.68,294.989999,294.989999
1994.07,451.4,12.87,25.91,148.4,7.3,787.92,22.46,302066.76,45.23,17338.39,20.07,23.42,9014.170014,9045.489962,8989.589937,9028.019988,4980100000,9028.019988,253.67,262.78,244.05,249.69,249.69
1994.08,464.24,12.9,26.62,149,7.24,807.07,22.43,310124.49,46.28,17782.86,20.54,23.95,10660.73004,10704.95993,10634.92005,10677.59006,6398750000,10677.59006,271.82,286.12,263.51,273.45,273.45
1994.09,466.96,12.92,27.33,149.4,7.46,809.62,22.4,311823.65,47.39,18250.26,20.58,23.98,9819.109923,9849.559999,9774.889985,9806.119931,6152870000,9806.119931,272.23,290.23,266.24,277.9,277.9
1994.1,463.81,13.01,28.42,149.5,7.74,803.62,22.55,310236.67,49.24,19009.78,20.4,23.75,9730.649933,9777.69998,9689.419956,9740.089997,6344700000,9740.089997,314.009999,332.349999,306.990001,320.149998,320.149998
1994.11,461.01,13.1,29.51,149.7,7.96,797.7,22.66,308680.86,51.06,19759.16,20.21,23.51,9699.840057,9736.240083,9645.140015,9681.320038,6251240000,9681.320038,334.049998,355.260002,329.46,344.06,344.06
1994.12,455.19,13.17,30.6,149.7,7.81,787.63,22.79,305518.79,52.95,20538.4,19.91,23.15,9553.520018,9591.920014,9518.160004,9558.91995,6351530000,9558.91995,298.820002,312.380001,287.380001,297.720001,297.720001
1995.01,465.25,13.18,31.25,150.3,7.78,801.83,22.71,311758.61,53.86,20940.26,20.22,23.49,9759.160065,9793.939911,9730.019989,9770.249999,6852060000,9770.249999,260.26,269.93,251.91,257.76,257.76
1995.02,481.92,13.18,31.9,150.9,7.47,827.25,22.62,322378.03,54.76,21339.35,20.8,24.14,9139.590027,9179.640044,9120.770019,9156.570008,6330100000,9156.570008,216.08,225,212.47,217.93,217.93
1995.03,493.15,13.17,32.55,151.4,7.2,843.73,22.53,329532.56,55.69,21750.55,21.15,24.53,11329.12009,11370.1,11289.80002,11342.52008,7792400000,11342.52008,277.72,289.01,270.72,279.83,279.83
1995.04,507.91,13.24,33.18,151.9,7.06,866.13,22.58,339013.34,56.58,22144.36,21.64,25.07,9637.100005,9668.960022,9607.520047,9650.210022,6307030000,9650.210022,232.02,246.61,226.94,236.41,236.41
1995.05,523.81,13.31,33.8,152.2,6.63,891.48,22.65,349675.61,57.53,22565.8,22.2,25.68,11505.32013,11559.71002,11460.33014,11523.90008,7555690000,11523.90008,262.4,279.34,258,269.85,269.85
1995.06,539.35,13.36,34.43,152.5,6.17,916.12,22.69,360082.99,58.48,22986.29,22.72,26.26,11854.81988,11906.68988,11812.48993,11865.78986,7555650000,11865.78986,261.35,272.68,254.77,261.73,261.73
1995.07,557.37,13.44,34.68,152.5,6.28,946.73,22.83,372861.31,58.91,23199.72,23.38,26.99,11128.21008,11178.10998,11083.01996,11147.32996,7307960000,11147.32996,248.21,262.98,242.56,250.28,250.28
1995.08,559.11,13.51,34.93,152.9,6.49,947.2,22.89,373798,59.18,23352.76,23.28,26.86,11128.21008,11178.10998,11083.01996,11147.32996,7307960000,11147.32996,248.21,262.98,242.56,250.28,250.28
1995.09,578.77,13.58,35.18,153.2,6.2,978.59,22.96,386939.26,59.48,23519.75,23.95,27.59,11552.80988,11594.45996,11517.13995,11575.30988,7052830000,11575.30988,235.66,251.96,231.06,241.14,241.14
1995.1,582.92,13.65,34.77,153.7,6.04,982.4,23,389203.99,58.6,23217.43,23.93,27.54,12827.10999,12865.32007,12768.90002,12824.20001,8043320000,12824.20001,311.21,330.01,304.31,315.86,315.86
1995.11,595.53,13.72,34.37,153.6,5.93,1004.3,23.14,398646.18,57.96,23004.98,24.35,28,12482.31,12528.32001,12451.01996,12506.17999,7602150000,12506.17999,262.39,274.8,256.22,261.85,261.85
1995.12,614.57,13.79,33.96,153.5,5.71,1037.09,23.27,412429.26,57.31,22790.08,25.03,28.75,12280.87,12330.84003,12239.22015,12291.41998,7697540000,12291.41998,235.36,249.95,220.91,234.97,234.97
1996.01,614.42,13.89,33.99,154.4,5.65,1030.79,23.31,410697.57,57.02,22717.77,24.76,28.42,13497.15008,13563.09009,13430.18994,13517.24011,9188050000,13517.24011,293.239999,307.650001,284.44,296.42,296.42
1996.02,649.54,14,34.01,154.9,5.81,1086.19,23.41,433548.55,56.88,22702.86,25.98,29.78,12986.43011,13060.22003,12912.95996,12990.84009,8749960000,12990.84009,294.319999,308.789998,289.240002,300.659996,300.659996
1996.03,647.07,14.1,34.04,155.7,6.27,1076.5,23.46,430461.01,56.63,22644.99,25.63,29.36,13583.49994,13655.85004,13497.68994,13588.56995,8984200000,13588.56995,365.68,384.690002,358.240003,373.009994,373.009994
1996.04,647.17,14.16,34.33,156.3,6.51,1072.54,23.46,429656.63,56.89,22791.71,25.42,29.1,13581.95996,13639.90009,13515.6001,13590.62994,8875580000,13590.62994,344.970004,359.399997,339.049997,348.079999,348.079999
1996.05,661.23,14.21,34.62,156.6,6.74,1093.74,23.51,438934.94,57.26,22981.3,25.81,29.52,14532.12,14616.27997,14461.9101,14547.07001,8921140000,14547.07001,352.180001,368.020001,343.339999,355.220003,355.220003
1996.06,668.5,14.27,34.91,156.7,6.91,1105.06,23.59,444266.58,57.71,23200.22,25.97,29.67,13368.46985,13420.58002,13314.56006,13369.97986,7930840000,13369.97986,325.679998,335.48,319.44,327.900003,327.900003
1996.07,644.07,14.4,35.27,157,6.87,1062.64,23.76,428009.14,58.2,23440.46,24.86,28.38,14199.51996,14261.79004,14059.46002,14169.54999,8849860000,14169.54999,390.819996,419.050001,379.700003,395.529999,395.529999
1996.08,662.68,14.53,35.64,157.3,6.64,1091.26,23.93,440339.43,58.68,23679.97,25.41,28.99,14566.97015,14622.69,14504.65009,14579.01013,7380320000,14579.01013,348.55,360.830002,339.409999,346.730002,346.730002
1996.09,674.88,14.66,36,157.8,6.83,1107.83,24.06,447834.39,59.09,23888.75,25.68,29.27,13462.36993,13537.03009,13417.98004,13497.70996,8064070000,13497.70996,332.519999,341.569998,324.839998,331.56,331.56
1996.1,701.46,14.74,36.91,158.3,6.53,1147.82,24.12,464814.55,60.4,24457.99,26.48,30.16,16116.11005,16190.21985,16061.22003,16133.48004,9703670000,16133.48004,373.850001,385.210002,368.19,376.780003,376.780003
1996.11,735.67,14.82,37.82,158.6,6.2,1201.52,24.2,487378.13,61.77,25055.58,27.59,31.38,14661.63013,14747.82984,14626.16009,14713.38013,8763850000,14713.38013,319.010001,329.899999,312.079999,319.939995,319.939995
1996.12,743.25,14.9,38.73,158.6,6.3,1213.9,24.34,493222.45,63.26,25701.32,27.72,31.51,15624.53992,15711.18011,15506.60999,15608.22986,9089170000,15608.22986,401.010008,415.809994,390.190001,404.479998,404.479998
1997.01,766.22,14.95,39.23,159.1,6.58,1247.49,24.35,507691.77,63.88,25995.7,28.33,32.17,16811.34998,16944.31989,16728.66992,16856.76996,11635830000,16856.76996,430.349998,442.66,418.239997,428.409992,428.409992
1997.02,798.39,15.01,39.74,159.6,6.42,1295.79,24.36,528176.1,64.49,26287.87,29.27,33.19,15164.71002,15239.13001,15064.6601,15169.30011,9715930000,15169.30011,380.819998,391.479996,375.339999,382.649999,382.649999
1997.03,792.16,15.06,40.24,160,6.69,1282.46,24.38,523572.67,65.15,26596.35,28.8,32.64,15876.81006,15957.82007,15745.71997,15843.11005,10120760000,15843.11005,398.969999,413.349998,392.159995,403.4,403.4
1997.04,763.93,15.09,40.34,160.2,6.89,1235.22,24.4,505114.17,65.23,26675.18,27.59,31.23,16762.20007,16894.96008,16659.51013,16806.42011,10454880000,16806.42011,437.279997,445.249997,423.319999,432.569996,432.569996
1997.05,833.09,15.13,40.45,160.1,6.71,1347.89,24.47,552021.16,65.44,26800.75,29.93,33.84,17447.93005,17584.19,17338.75012,17494.92004,10106650000,17494.92004,421.58,432.609998,408.780003,418.420004,418.420004
1997.06,876.29,15.16,40.55,160.3,6.49,1416.01,24.5,580757.92,65.53,26874.36,31.26,35.31,18365.16998,18507.58008,18279.54004,18402.01001,10857950000,18402.01001,424.660001,432.400001,417.84,424.080005,424.080005
1997.07,925.29,15.22,40.58,160.5,6.22,1493.33,24.56,613307.68,65.49,26897.54,32.77,36.97,20287.31,20448.26007,20189.51007,20356.47998,11958120000,20356.47998,451.919997,463.379995,442.95,451.639999,451.639999
